date,E_NF@KAU.A,ECT@KAU.A,EMN@KAU.A,E_TTU@KAU.A,E_TU@KAU.A,E_TRADE@KAU.A,EIF@KAU.A,E_FIR@KAU.A,EFI@KAU.A,ERE@KAU.A,E_PBS@KAU.A,EPS@KAU.A,EMA@KAU.A,EAD@KAU.A,E_EDHC@KAU.A,EED@KAU.A,EHC@KAU.A,E_LH@KAU.A,EAE@KAU.A,EAF@KAU.A,EOS@KAU.A,EGV@KAU.A,EGVFD@KAU.A,E_GVSL@KAU.A,EMPL@KAU.A,UR@KAU.A,ERT@KAU.A,EWT@KAU.A
1994-01-01,22.924999999999997,1.883333333333333,0.4416666666666667,5.058333333333334,1.3000000000000003,3.7583333333333337,0.3333333333333332,1.1416666666666668,0.39982920580700254,0.7416666666666667,1.5166666666666666,0.4165078154784599,0.05833333333333339,1.0416666666666665,2.1166666666666663,0.09982847341337905,2.016666666666667,5.75,0.8250000000000002,4.925000000000001,0.5833333333333331,4.1,0.450359712230216,3.6499999999999995,24929.166666666668,13.100000000000001,3.358333333333333,0.39979570990806945
1995-01-01,23.50833333333333,1.5833333333333335,0.4583333333333333,5.233333333333333,1.208333333333333,4.025,0.30833333333333324,1.2583333333333333,0.400354609929078,0.8583333333333334,1.5166666666666668,0.4080037664783428,0.04184995112414471,1.0666666666666667,1.9916666666666667,0.09974597798475868,1.8916666666666664,6.491666666666667,0.8583333333333333,5.633333333333334,0.5833333333333331,4.083333333333334,0.4084428648068669,3.675,25533.333333333332,11.466666666666667,3.625,0.39999999999999997
1996-01-01,23.333333333333332,1.25,0.39999999999999997,5.066666666666667,1.1999999999999997,3.866666666666667,0.33333333333333326,1.2833333333333332,0.4,0.8833333333333334,1.6666666666666663,0.44166666666666654,0.1001461988304093,1.125,2.0166666666666666,0.10824417009602197,1.908333333333333,6.691666666666666,0.6750000000000002,6.016666666666667,0.6333333333333334,3.9916666666666667,0.39989290495314583,3.5916666666666663,25583.333333333332,12.025,3.475,0.392076359832636
1997-01-01,23.391666666666666,0.9916666666666667,0.36666666666666664,4.949999999999999,1.225,3.7249999999999996,0.4750000000000001,1.2666666666666666,0.41666666666666674,0.8500000000000002,1.7583333333333335,0.5,0.09166666666666667,1.1666666666666667,2.0416666666666665,0.10007968127490038,1.9416666666666664,6.825,0.7166666666666668,6.108333333333333,0.7416666666666667,3.975,0.3997827857724681,3.575,25708.333333333332,10.958333333333334,3.358333333333333,0.3670554966419229
1998-01-01,23.941666666666666,0.8999999999999999,0.3916666666666666,4.933333333333334,1.2,3.7333333333333334,0.4333333333333334,1.225,0.39981481481481485,0.8250000000000002,2.0000000000000004,0.5166666666666667,0.10833333333333336,1.375,2.1166666666666663,0.11675795513823684,2.0,7.208333333333333,0.7833333333333332,6.425,0.7083333333333334,4.025,0.39978064162325194,3.625,26183.333333333332,9.65,3.3833333333333333,0.3499999999999999
1999-01-01,24.608333333333334,0.8833333333333333,0.3916666666666666,5.241666666666666,1.2750000000000004,3.966666666666667,0.375,1.2,0.39961813842482097,0.7999999999999999,2.158333333333333,0.600264084507042,0.05825331504343842,1.5,2.1333333333333333,0.12509563886763583,2.008333333333333,7.475,0.8000000000000004,6.675,0.7000000000000001,4.05,0.40021996150673633,3.6499999999999995,27191.666666666668,7.408333333333332,3.566666666666667,0.4002116402116402
2000-01-01,25.566666666666666,1.0750000000000002,0.39999999999999997,5.583333333333335,1.3416666666666668,4.241666666666667,0.4166666666666666,1.2083333333333333,0.375,0.8333333333333335,2.1999999999999997,0.46666666666666684,0.09179990310077536,1.6416666666666668,2.1,0.17486969471332842,1.9249999999999996,7.766666666666667,0.8333333333333334,6.933333333333333,0.7000000000000001,4.116666666666666,0.43356655902404023,3.683333333333333,28770.833333333332,4.8500000000000005,3.841666666666667,0.39979476654694707
2001-01-01,25.645833333333332,1.0708333333333333,0.40416666666666673,5.575,1.3916666666666666,4.191666666666666,0.3499999999999999,1.2416666666666667,0.3793661230931088,0.8624999999999999,2.3416666666666663,0.5622781065088758,0.08761920980926424,1.6916666666666669,2.1666666666666665,0.19139285714285711,1.9958333333333333,7.6708333333333325,0.8333333333333334,6.8374999999999995,0.7041666666666667,4.116666666666666,0.39999999999999997,3.7166666666666663,28645.833333333332,5.349999999999999,3.7916666666666665,0.3997971602434076
2002-01-01,26.016666666666666,1.2625,0.4125000000000001,5.5874999999999995,1.479166666666667,4.120833333333334,0.4375,1.2041666666666666,0.40021052631578935,0.8041666666666666,2.5083333333333337,0.5247979214780601,0.1293314200680271,1.8541666666666667,2.220833333333333,0.1707159221076747,2.0500000000000003,7.558333333333334,0.8916666666666667,6.666666666666666,0.6750000000000002,4.204166666666667,0.4166666666666667,3.7875000000000005,28608.333333333332,4.575,3.720833333333333,0.3999999999999999
2003-01-01,27.033333333333342,1.3083333333333331,0.42500000000000004,5.845833333333334,1.5916666666666668,4.254166666666667,0.3083333333333333,1.1875,0.4,0.7875,2.8333333333333326,0.43349472377405346,0.13749999999999982,2.2625,2.2416666666666667,0.1753458498023715,2.0750000000000006,8.0125,0.9708333333333332,7.041666666666667,0.6708333333333334,4.225,0.499736564805058,3.7250000000000005,29350.0,4.216666666666667,3.833333333333333,0.4206234413965086
